dataset,split,m,seed,k,ndcg_at_10,mrr_at_10,candidate_recall_at_k,reranked_recall_at_100,delta_ndcg10_vs_projected_exact,delta_ci95_low,delta_ci95_high,pq_search_mean_ms,rerank_p50_ms,code_bytes_per_doc,serialized_index_bytes
fiqa,validation,84,42,100,0.38287143356404624,0.46988571428571424,0.5778112443112443,0.5778112443112443,-0.010738482539294313,-0.019659501515302092,-0.0023988861870416016,0.3839651998132467,0.06434999999999999,84,5529806
fiqa,validation,84,42,200,0.3910953713985992,0.4743468253968254,0.6664565545565545,0.6476915972915974,-0.0025145447047413717,-0.008255856219580637,0.0028115603892680924,0.387729000300169,0.0701,84,5529806
fiqa,strict_confirmatory,84,42,20,0.330784610952759,0.42812071330589846,0.38735089070737216,0.38735089070737216,-0.04933451019106976,-0.06361154903802806,-0.03616861083244358,0.36518811751272023,0.0134,84,5529806
fiqa,strict_confirmatory,84,42,50,0.35407647533489345,0.44012161963550855,0.49025652416856114,0.49025652416856114,-0.02604264580893536,-0.03713155438192313,-0.015574661544514135,0.37042191359904353,0.0209,84,5529806
fiqa,strict_confirmatory,84,42,100,0.3670840534072969,0.45079916225749556,0.5616421344430603,0.5616421344430603,-0.013035067736531902,-0.02121444464859038,-0.005472170874999354,0.376641512474758,0.0303,84,5529806
fiqa,strict_confirmatory,84,42,200,0.3713211654746961,0.4503306878306878,0.6413231658602029,0.6252995033087626,-0.008797955669132643,-0.015837828608628035,-0.0027703954382023053,0.3718612654519808,0.0646,84,5529806
fiqa,validation,96,17,20,0.3549494240077945,0.4497960317460318,0.40650062160062156,0.40650062160062156,-0.0386604920955461,-0.0534132265325581,-0.024791888308431338,0.45185580011457205,0.0188,96,6221462
fiqa,validation,96,17,50,0.38010201094413926,0.46756507936507935,0.5088806582306582,0.5088806582306582,-0.013507905159201297,-0.02264820679207442,-0.005005086637647979,0.46668480010703206,0.0251,96,6221462
fiqa,validation,96,17,100,0.3888057338496114,0.4715761904761905,0.5890305361305361,0.5890305361305361,-0.00480418225372912,-0.011252607412058697,0.0009604023134969233,0.46865539997816086,0.04915,96,6221462
fiqa,validation,96,17,200,0.39224621665147325,0.47146031746031747,0.6700113164613165,0.6585113164613164,-0.0013636994518673572,-0.004809060431144479,0.0019394652639532302,0.43858360033482313,0.0702,96,6221462
fiqa,strict_confirmatory,96,17,20,0.3488142713682038,0.43466527042915937,0.41571646374887117,0.41571646374887117,-0.031304849775625004,-0.04441937787785554,-0.0193065460561367,0.4082753087313455,0.0104,96,6221462
fiqa,strict_confirmatory,96,17,50,0.3680383495960613,0.4525462962962963,0.5075085751011676,0.5075085751011676,-0.012080771547767504,-0.02129492534917602,-0.003502251808041264,0.43039753088831073,0.02035,96,6221462
fiqa,strict_confirmatory,96,17,100,0.3747463528039446,0.4545340975896532,0.5833138226656744,0.5833138226656744,-0.005372768339884221,-0.011744262802660582,0.0003148753053142912,0.4226461417231433,0.0305,96,6221462
fiqa,strict_confirmatory,96,17,200,0.3789261217360034,0.4569138252008622,0.6738455131973651,0.647058055970093,-0.0011929994078253843,-0.005690286688542861,0.002328008517549445,0.44728950618904223,0.0576,96,6221462
fiqa,validation,96,2026,20,0.35993308191083495,0.44925873015873014,0.41679725274725277,0.41679725274725277,-0.033676834192505625,-0.047506124595398116,-0.020651692990094117,0.45292779989540577,0.0246,96,6221462
fiqa,validation,96,2026,50,0.3815341228638031,0.4668507936507937,0.5232018426018425,0.5232018426018425,-0.0120757932395374,-0.021253755142502516,-0.0033394719812384712,0.47341159963980317,0.0366,96,6221462
fiqa,validation,96,2026,100,0.390108511467237,0.47231825396825394,0.609489022089022,0.609489022089022,-0.0035014046361035145,-0.010449459097274657,0.002574323185579328,0.4504773998633027,0.0366,96,6221462
fiqa,validation,96,2026,200,0.3892144782212464,0.47006904761904766,0.6794025363525363,0.6580247585747586,-0.004395437882094186,-0.010608372312193482,0.0009269699243333136,0.449435000307858,0.06315000000000001,96,6221462
fiqa,strict_confirmatory,96,2026,20,0.34182250064758457,0.4293736527532824,0.41411021677225385,0.41411021677225385,-0.03829662049624421,-0.051690091664308414,-0.025733906407647545,0.41756141976809796,0.0133,96,6221462
fiqa,strict_confirmatory,96,2026,50,0.36552894421054216,0.4450109004507153,0.5277735210605581,0.5277735210605581,-0.01459017693328665,-0.023998562757712262,-0.005608413699160402,0.4004862656770849,0.0211,96,6221462
fiqa,strict_confirmatory,96,2026,100,0.3737474700165868,0.45062218302959045,0.5950808536456684,0.5950808536456684,-0.006371651127241984,-0.012829432386911619,-0.00012923448555007247,0.4409354939671624,0.0595,96,6221462
fiqa,strict_confirmatory,96,2026,200,0.37780428869802907,0.4525824270037233,0.6601735969791526,0.6452081354859133,-0.002314832445799694,-0.006514067754715926,0.0018039088900483728,0.4372890430709554,0.0641,96,6221462
fiqa,validation,96,42,20,0.3479361412314916,0.44206190476190477,0.4134028083028083,0.4134028083028083,-0.04567377487184896,-0.062052994317842454,-0.030159051986517017,0.47068759985268116,0.0146,96,6221462
fiqa,validation,96,42,50,0.38152658794059,0.4668833333333333,0.5286107670107669,0.5286107670107669,-0.01208332816275053,-0.02221337921345978,-0.0023386678583410254,0.49122400023043156,0.0212,96,6221462
