encoder,scheme,n,overlap,condition,linkage_method,runs,top1_precision_mean,top1_precision_std,top1_precision_min,top1_precision_max,top1_recall_mean,top1_recall_std,top1_recall_min,top1_recall_max,top5_recall_mean,top5_recall_std,top5_recall_min,top5_recall_max,top10_recall_mean,top10_recall_std,top10_recall_min,top10_recall_max,mrr_mean,mrr_std,mrr_min,mrr_max,auc_mean,auc_std,auc_min,auc_max,forced_false_matches_mean,forced_false_matches_std,forced_false_matches_min,forced_false_matches_max,mnn_accepted_mean,mnn_accepted_std,mnn_accepted_min,mnn_accepted_max,mnn_precision_mean,mnn_precision_std,mnn_precision_min,mnn_precision_max,mnn_recall_mean,mnn_recall_std,mnn_recall_min,mnn_recall_max,mnn_false_matches_mean,mnn_false_matches_std,mnn_false_matches_min,mnn_false_matches_max,mnn_unmatched_a_mean,mnn_unmatched_a_std,mnn_unmatched_a_min,mnn_unmatched_a_max
e5-small,microkey_perdoc,10000,0.25,int8,robust_neighbour_signature_nn,3,0.004166666666666667,0.00037859388972001824,0.0039,0.0046,0.016666666666666666,0.001514375558880073,0.0156,0.0184,0.0656,0.00567097875150313,0.0592,0.07,0.12213333333333332,0.005828664798505173,0.1156,0.1268,0.05977972858928455,0.0028186344563897736,0.05675450206427847,0.06233191077833715,0.608049344,0.0027947729937839116,0.604919584,0.610295552,9958.333333333334,3.7859388972001824,9954.0,9961.0,3518.6666666666665,26.350205565295564,3497.0,3548.0,0.005877032721345277,0.0011725190332974196,0.004791431792559188,0.007120478496154941,0.008266666666666667,0.0016165807537309525,0.0068,0.01,3498.0,28.930952282978865,3477.0,3531.0,6481.333333333333,26.350205565295564,6452.0,6503.0
e5-small,microkey_perdoc,10000,0.5,clean,cell_label_chance_control,3,0.003196778193617645,8.536889108825039e-06,0.0031875105797536316,0.0032043209480581225,0.00639355638723529,1.7073778217650078e-05,0.006375021159507263,0.006408641896116245,0.03196778193617644,8.536889108825277e-05,0.031875105797536316,0.03204320948058123,0.06393556387235289,0.00017073778217650555,0.06375021159507263,0.06408641896116246,,,,,0.5,0.0,0.5,0.5,9968.032218063823,0.08536889108824168,9967.956790519418,9968.124894202463,,,,,,,,,,,,,,,,,,,,
e5-small,microkey_perdoc,10000,0.5,clean,combined_prefix_residual_nn,3,0.4831666666666667,0.0010503967504392722,0.4821,0.4842,0.9663333333333334,0.0021007935008785445,0.9642,0.9684,0.9845333333333334,0.001026320287889372,0.9834,0.9854,0.9893333333333333,0.00011547005383791244,0.9892,0.9894,0.9746508362471885,0.001658480125024854,0.9730140853357206,0.9763302234133302,0.991688624,0.00011357492166849454,0.991562252,0.9917821720000001,5168.333333333333,10.503967504392488,5158.0,5179.0,5618.666666666667,12.858201014657274,5604.0,5628.0,0.8504408302498181,0.001296446518162798,0.8493954480796586,0.851891506067095,0.9556666666666667,0.001026320287889372,0.9548,0.9568,840.3333333333334,9.073771725877467,830.0,847.0,4381.333333333333,12.858201014657274,4372.0,4396.0
e5-small,microkey_perdoc,10000,0.5,clean,combined_residual_invariants_nn,3,0.009966666666666665,0.0007094598884597588,0.0092,0.0106,0.01993333333333333,0.0014189197769195177,0.0184,0.0212,0.07606666666666666,0.00277368587502863,0.073,0.0784,0.13666666666666666,0.003113411847689504,0.1334,0.1396,0.06698517812070721,0.0022368943620412747,0.06440228471027072,0.06829050321469468,0.6186566333333333,0.0036462410541933986,0.614913656,0.622197752,9900.333333333334,7.094598884597588,9894.0,9908.0,3555.0,17.578395831246947,3535.0,3568.0,0.013035844708913858,0.001893277215300852,0.010930493273542601,0.014598540145985401,0.009266666666666666,0.0013316656236958785,0.0078,0.0104,3508.6666666666665,21.031722072463143,3487.0,3529.0,6445.0,17.578395831246947,6432.0,6465.0
e5-small,microkey_perdoc,10000,0.5,clean,gram_quantile_signature_nn,3,0.008766666666666667,0.0010214368964029709,0.0076,0.0095,0.017533333333333335,0.0020428737928059417,0.0152,0.019,0.06753333333333333,0.0022120880030716086,0.0652,0.0696,0.12026666666666667,0.002468467810876482,0.1182,0.123,0.060390544916530016,0.00167966181416463,0.05869653016315938,0.06205547608030358,0.589025384,0.0014682645111668711,0.5880236400000001,0.5907108160000001,9912.333333333334,10.214368964029708,9905.0,9924.0,3725.0,48.569537778323564,3675.0,3772.0,0.01109399857655747,0.00027083374847461936,0.010884353741496598,0.011399787910922587,0.008266666666666667,0.0003055050463303892,0.008,0.0086,3683.6666666666665,47.08856903042747,3635.0,3729.0,6275.0,48.569537778323564,6228.0,6325.0
e5-small,microkey_perdoc,10000,0.5,clean,public_prefix_nn,3,0.49996666666666667,5.773502691895622e-05,0.4999,0.5,0.9999333333333333,0.00011547005383791244,0.9998,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5000.333333333333,0.5773502691896257,5000.0,5001.0,5813.333333333333,10.785793124908958,5801.0,5821.0,0.8599218975604986,0.0017577893834094572,0.8586153581858788,0.8619203585588692,0.9998,0.00019999999999997797,0.9996,1.0,814.3333333333334,11.718930554164631,801.0,823.0,4186.666666666667,10.785793124908958,4179.0,4199.0
e5-small,microkey_perdoc,10000,0.5,clean,raw_cross_key_cosine_control,3,0.003566666666666667,0.0010598742063723098,0.0026,0.0047,0.007133333333333334,0.0021197484127446196,0.0052,0.0094,0.03426666666666667,0.0009018499505645804,0.0334,0.0352,0.0674,0.0024576411454888987,0.0656,0.0702,0.03706939473772917,0.0012499018091787948,0.036055887683263,0.03846601180534297,0.502733276,0.002159726100778559,0.500725044,0.505017888,9964.333333333334,10.598742063723098,9953.0,9974.0,5006.666666666667,19.347695814575268,4995.0,5029.0,0.003396448845292841,0.0008775660251161351,0.0028022417934347476,0.004404404404404405,0.0034000000000000002,0.0008717797887081348,0.0028,0.0044,4989.666666666667,21.54839514519198,4973.0,5014.0,4993.333333333333,19.347695814575268,4971.0,5005.0
e5-small,microkey_perdoc,10000,0.5,clean,residual_norm_nn,3,0.4999,9.999999999998899e-05,0.4998,0.5,0.9998,0.00019999999999997797,0.9996,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9999333333333333,0.00011547005383791244,0.9998,1.0,1.0,0.0,1.0,1.0,5001.0,1.0,5000.0,5002.0,6422.333333333333,21.385353243127252,6399.0,6441.0,0.7782277028544149,0.0026591473518602802,0.776121720229778,0.7812158149710893,0.9996,0.0003464101615138014,0.9992,0.9998,1424.3333333333333,21.77919496522618,1400.0,1442.0,3577.6666666666665,21.385353243127252,3559.0,3601.0
e5-small,microkey_perdoc,10000,0.5,clean,robust_neighbour_signature_nn,3,0.009633333333333332,0.0006658328118479392,0.0092,0.0104,0.019266666666666665,0.0013316656236958785,0.0184,0.0208,0.07273333333333333,0.004605793453177566,0.068,0.0772,0.12713333333333335,0.002540341184434346,0.1242,0.1286,0.06369282283977365,0.001761620576859179,0.06178013026539436,0.06524876265073537,0.613687608,0.0024736942825369247,0.6113607120000001,0.616285744,9903.666666666666,6.6583281184793925,9896.0,9908.0,3565.0,37.64306044943742,3522.0,3592.0,0.012047857599654642,0.0021306235553156675,0.009937535491198184,0.014198218262806235,0.0086,0.0016000000000000003,0.007,0.0102,3522.0,30.347981810987037,3487.0,3541.0,6435.0,37.64306044943742,6408.0,6478.0
e5-small,microkey_perdoc,10000,0.5,fp16,cell_label_chance_control,3,0.003196778193617645,8.536889108825039e-06,0.0031875105797536316,0.0032043209480581225,0.00639355638723529,1.7073778217650078e-05,0.006375021159507263,0.006408641896116245,0.03196778193617644,8.536889108825277e-05,0.031875105797536316,0.03204320948058123,0.06393556387235289,0.00017073778217650555,0.06375021159507263,0.06408641896116246,,,,,0.5,0.0,0.5,0.5,9968.032218063823,0.08536889108824168,9967.956790519418,9968.124894202463,,,,,,,,,,,,,,,,,,,,
