encoder,d,d_pub,d_priv,scheme,n,seed,condition,evaluated_queries,view,linkage_method,n_queries,top1,top5,top10,mrr,median_rank,mean_rank,auc,note
e5-small,384,96,288,cell_C64,2000,11,clean,1000,full_server,combined_prefix_invariants_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,clean,1000,residual,gram_signature_hungarian,1000,1.0,,,,,,,global one-to-one assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,2000,11,clean,1000,residual,raw_cross_key_cosine_control,1000,0.024,0.164,0.326,0.12699933754000717,16.0,18.07,0.50777525,
e5-small,384,96,288,cell_C64,2000,11,clean,1000,residual,known_anchor_ip_0.01,989,0.30940343781597573,0.41253791708796766,0.5338725985844287,0.382065507136105,9.0,12.48938321536906,0.6336466551684301,
e5-small,384,96,288,cell_C64,2000,11,clean,1000,residual,known_anchor_ip_0.1,898,0.9187082405345212,0.9320712694877505,0.9398663697104677,0.9269168427571365,1.0,2.2661469933184857,0.952545870308183,
e5-small,384,96,288,cell_C64,2000,11,fp16,1000,residual,cell_label_chance_control,1000,0.031930141962286177,0.15965070981143087,0.31930141962286174,0.1269129633887017,17.75,18.0925,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,cell_C64,2000,11,fp16,1000,residual,residual_norm_nn,1000,0.947,1.0,1.0,0.9731666666666666,1.0,1.055,0.9984169999999999,
e5-small,384,96,288,cell_C64,2000,11,fp16,1000,residual,residual_norm_rank_assignment,1000,0.776,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,2000,11,fp16,1000,full_server,public_prefix_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,fp16,1000,residual,gram_signature_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,fp16,1000,residual,nn_graph_signature_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,fp16,1000,residual,combined_invariants_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,fp16,1000,full_server,combined_prefix_invariants_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,fp16,1000,residual,known_anchor_ip_0.01,989,0.30940343781597573,0.41253791708796766,0.5338725985844287,0.382065507136105,9.0,12.48938321536906,0.5810475391081471,
e5-small,384,96,288,cell_C64,2000,11,fp16,1000,residual,known_anchor_ip_0.1,898,0.9175946547884187,0.9320712694877505,0.9398663697104677,0.9263600498840853,1.0,2.267260579064588,0.9343895863611787,
e5-small,384,96,288,cell_C64,2000,11,int8,1000,residual,cell_label_chance_control,1000,0.031930141962286177,0.15965070981143087,0.31930141962286174,0.1269129633887017,17.75,18.0925,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,cell_C64,2000,11,int8,1000,residual,residual_norm_nn,1000,0.806,1.0,1.0,0.8969833333333334,1.0,1.235,0.9924475500000001,
e5-small,384,96,288,cell_C64,2000,11,int8,1000,residual,residual_norm_rank_assignment,1000,0.08,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,2000,11,int8,1000,full_server,public_prefix_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,int8,1000,residual,gram_signature_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,int8,1000,residual,nn_graph_signature_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,int8,1000,residual,combined_invariants_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,int8,1000,full_server,combined_prefix_invariants_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,int8,1000,residual,known_anchor_ip_0.01,989,0.2558139534883721,0.4115267947421638,0.5338725985844287,0.35210258162211777,9.0,12.567239635995955,0.542435854050777,
e5-small,384,96,288,cell_C64,2000,11,int8,1000,residual,known_anchor_ip_0.1,898,0.9053452115812918,0.9320712694877505,0.9398663697104677,0.9202353282805218,1.0,2.279510022271715,0.918939886210882,
e5-small,384,96,288,cell_C64,2000,11,noise_0.01,1000,residual,cell_label_chance_control,1000,0.031930141962286177,0.15965070981143087,0.31930141962286174,0.1269129633887017,17.75,18.0925,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,cell_C64,2000,11,noise_0.01,1000,residual,residual_norm_nn,1000,0.842,1.0,1.0,0.9145833333333334,1.0,1.199,0.9946158500000001,
