encoder,scheme,n,condition,view,linkage_method,runs,top1_mean,top1_std,top1_min,top1_max,top5_mean,top5_std,top5_min,top5_max,top10_mean,top10_std,top10_min,top10_max,mrr_mean,mrr_std,mrr_min,mrr_max,median_rank_mean,median_rank_std,median_rank_min,median_rank_max,mean_rank_mean,mean_rank_std,mean_rank_min,mean_rank_max,auc_mean,auc_std,auc_min,auc_max
e5-small,cell_C64,2000,noise_0.01,residual,residual_norm_rank_assignment,3,0.09433333333333334,0.010503967504392482,0.084,0.105,,,,,,,,,,,,,,,,,,,,,,,,
e5-small,cell_C64,500,clean,full_server,combined_prefix_invariants_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,500,clean,full_server,public_prefix_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,500,clean,residual,cell_label_chance_control,3,0.12799999999999997,0.0,0.12799999999999997,0.12799999999999997,0.6059999999999999,0.0,0.6059999999999999,0.6059999999999999,0.918,0.0,0.918,0.918,0.3334187309422603,6.798699777552591e-17,0.3334187309422604,0.3334187309422604,5.0,0.0,5.0,5.0,5.242,0.0,5.242,5.242,0.5,0.0,0.5,0.5
e5-small,cell_C64,500,clean,residual,combined_invariants_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,500,clean,residual,gram_signature_hungarian,3,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
e5-small,cell_C64,500,clean,residual,gram_signature_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,500,clean,residual,known_anchor_ip_0.01,3,0.19865319865319864,0.013451167916119987,0.18383838383838383,0.2101010101010101,0.6417508417508417,0.014332522999187029,0.6262626262626263,0.6545454545454545,0.9265993265993266,0.008164549261267424,0.9171717171717172,0.9313131313131313,0.38851249485533507,0.012379394504965474,0.3748521733102838,0.3989890401075784,4.0,0.0,4.0,4.0,4.863973063973064,0.15319384311833023,4.743434343434344,5.036363636363636,0.5372676257524742,0.005141566320190991,0.5313784307723701,0.5408631772268137
e5-small,cell_C64,500,clean,residual,known_anchor_ip_0.1,3,0.6244444444444445,0.00801233616769776,0.6155555555555555,0.6311111111111111,0.8540740740740741,0.010501812502783578,0.8422222222222222,0.8622222222222222,0.9733333333333333,0.01602467233539555,0.96,0.9911111111111112,0.7196723056657697,0.004029592533103149,0.7166833660166994,0.7242550267452228,1.0,0.0,1.0,1.0,2.6548148148148147,0.13000158276972545,2.5244444444444443,2.7844444444444445,0.7644197530864197,0.0044826716781603045,0.759567901234568,0.7684074074074074
e5-small,cell_C64,500,clean,residual,nn_graph_signature_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,500,clean,residual,raw_cross_key_cosine_control,3,0.126,0.020784609690826537,0.102,0.138,0.614,0.010583005244258372,0.606,0.626,0.9053333333333334,0.011015141094572214,0.894,0.916,0.33083483036571276,0.013915261532374818,0.3168992262639322,0.3447296597193656,4.666666666666667,0.5773502691896258,4.0,5.0,5.3053333333333335,0.1671207148540637,5.142,5.476,0.5014582666666666,0.01091570020169723,0.49133119999999997,0.5130205999999999
e5-small,cell_C64,500,clean,residual,residual_norm_nn,3,0.9886666666666667,0.0011547005383792527,0.988,0.99,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9943333333333332,0.0005773502691896263,0.994,0.995,1.0,0.0,1.0,1.0,1.0113333333333334,0.0011547005383792527,1.01,1.012,0.9986175999999999,0.000684936318207768,0.997898,0.9992616
