cells,m,method,n_seeds,n_targets_per_seed,mean_anchors_in_target_cell,cosine_mean,cosine_ci_low,cosine_ci_high,r1_mean,r1_ci_low,r1_ci_high,r10_mean,r10_ci_low,r10_ci_high,coverage_any_mean,coverage_any_ci_low,coverage_any_ci_high,coverage_full_rank_mean,coverage_full_rank_ci_low,coverage_full_rank_ci_high
1,16384,oracle_true_residual,3,256,16384.0,1.0000000079849027,1.0000000025850768,1.0000000130649815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,16384,polar_ols,3,256,16384.0,1.0000000041399366,0.9999999992922418,1.0000000086207956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,16384,procrustes_partial,3,256,16384.0,1.0000000018492459,0.9999999967332737,1.0000000067345582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,16384,ridge_alpha0,3,256,16384.0,1.000000005142178,1.000000000218638,1.000000009747413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,16384,ridge_cv,3,256,16384.0,1.000000005142178,1.0000000006884167,1.0000000093775705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,32768,no_attack,3,256,32768.0,-0.0059497628455588225,-0.010202989709015299,-0.0018419649426262565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,32768,ols_pinv,3,256,32768.0,1.0000000047854896,0.9999999993810446,1.0000000098072104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,32768,oracle_true_residual,3,256,32768.0,1.0000000079849027,1.0000000030193603,1.000000012939582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,32768,polar_ols,3,256,32768.0,1.0000000030124212,0.999999998058855,1.0000000076722166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,32768,procrustes_partial,3,256,32768.0,1.000000002629645,0.9999999979141403,1.000000006808432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,32768,ridge_alpha0,3,256,32768.0,1.0000000047854896,1.0000000000143847,1.0000000096141795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,32768,ridge_cv,3,256,32768.0,1.0000000047854896,0.9999999995420008,1.000000010104491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,65536,no_attack,3,256,65536.0,-0.0059497628455588225,-0.009792394960615935,-0.0016220599056394358,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,65536,ols_pinv,3,256,65536.0,1.0000000033844585,0.9999999989034507,1.0000000077426325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,65536,oracle_true_residual,3,256,65536.0,1.0000000079849027,1.0000000026648834,1.000000013722697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,65536,polar_ols,3,256,65536.0,1.0000000036829666,0.9999999990347299,1.0000000080202587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,65536,procrustes_partial,3,256,65536.0,1.0000000003489324,0.9999999958301767,1.0000000049826034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,65536,ridge_alpha0,3,256,65536.0,1.0000000033844585,0.9999999984167635,1.0000000080886902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,65536,ridge_cv,3,256,65536.0,1.0000000033844585,0.9999999984272001,1.000000007689084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,90000,no_attack,3,256,90000.0,-0.0059497628455588225,-0.01013961346778029,-0.001657084474433297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,90000,ols_pinv,3,256,90000.0,1.0000000025738174,0.99999999808605,1.0000000073081954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,90000,oracle_true_residual,3,256,90000.0,1.0000000079849027,1.0000000028234455,1.0000000130976445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,90000,polar_ols,3,256,90000.0,1.0000000051037932,1.0000000007325165,1.0000000093931856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,90000,procrustes_partial,3,256,90000.0,1.0000000024707172,0.9999999983488961,1.0000000067324075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,90000,ridge_alpha0,3,256,90000.0,1.0000000025738174,0.9999999980639889,1.0000000066348418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,90000,ridge_cv,3,256,90000.0,1.0000000025738174,0.9999999984861111,1.0000000070089126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,32,no_attack,3,256,2.1614583333333335,-0.001051473019714665,-0.005072923193254769,0.003216833236087232,0.0,0.0,0.0,0.0,0.0,0.0,0.8385416666666666,0.6620768229166667,1.0,0.0,0.0,0.0
16,32,ols_pinv,3,256,2.1614583333333335,0.07713037334411202,0.06676828443893464,0.08523556663362356,0.0078125,0.0026041666666666665,0.015625,0.032552083333333336,0.013020833333333334,0.053385416666666664,0.8385416666666666,0.6855143229166667,1.0,0.0,0.0,0.0
16,32,oracle_true_residual,3,256,2.1614583333333335,1.0000000079849027,1.0000000021599367,1.0000000133588371,1.0,1.0,1.0,1.0,1.0,1.0,0.8385416666666666,0.66591796875,1.0,0.0,0.0,0.0
16,32,polar_ols,3,256,2.1614583333333335,0.008547241210095619,0.002304099045628124,0.014725802987580444,0.0,0.0,0.0,0.0026041666666666665,0.0,0.0078125,0.8385416666666666,0.6937500000000001,1.0,0.0,0.0,0.0
16,32,procrustes_partial,3,256,2.1614583333333335,0.010016818453012848,0.004515935541582657,0.015750032940755592,0.0,0.0,0.0,0.0,0.0,0.0,0.8385416666666666,0.6744791666666666,1.0,0.0,0.0,0.0
16,32,ridge_alpha0,3,256,2.1614583333333335,0.07713037334411202,0.06545654176227712,0.08619416857259173,0.0078125,0.0026041666666666665,0.014322916666666666,0.032552083333333336,0.012337239583333336,0.052083333333333336,0.8385416666666666,0.6620768229166667,1.0,0.0,0.0,0.0
16,32,ridge_cv,3,256,2.1614583333333335,0.07713037336754293,0.06623174389495816,0.08630255687620617,0.0078125,0.0026041666666666665,0.014322916666666666,0.032552083333333336,0.01171875,0.05406901041666664,0.8385416666666666,0.6859375000000001,1.0,0.0,0.0,0.0
16,64,no_attack,3,256,4.317708333333333,-0.001051473019714665,-0.004874869168601748,0.0030928702464619365,0.0,0.0,0.0,0.0,0.0,0.0,0.9661458333333334,0.9205729166666666,1.0,0.0,0.0,0.0
16,64,ols_pinv,3,256,4.317708333333333,0.12579040664236757,0.11898765646624486,0.1315070107004408,0.026041666666666668,0.01171875,0.04235026041666664,0.12369791666666667,0.09765625,0.1524088541666666,0.9661458333333334,0.9231770833333334,1.0,0.0,0.0,0.0
16,64,oracle_true_residual,3,256,4.317708333333333,1.0000000079849027,1.0000000029358997,1.0000000136032359,1.0,1.0,1.0,1.0,1.0,1.0,0.9661458333333334,0.9185872395833333,0.9980794270833333,0.0,0.0,0.0
16,64,polar_ols,3,256,4.317708333333333,0.016015166991482855,0.008834350062098085,0.02282777887346597,0.0026041666666666665,0.0,0.009114583333333334,0.00390625,0.0,0.010416666666666666,0.9661458333333334,0.92119140625,1.0,0.0,0.0,0.0
16,64,procrustes_partial,3,256,4.317708333333333,0.020189096101794313,0.015136155956750727,0.024379428708285227,0.0,0.0,0.0,0.005208333333333333,0.0,0.01171875,0.9661458333333334,0.91796875,0.9987630208333332,0.0,0.0,0.0
16,64,ridge_alpha0,3,256,4.317708333333333,0.12579040664236757,0.11857295182207327,0.13175925629249688,0.026041666666666668,0.012337239583333336,0.04296875,0.12369791666666667,0.09697265625000001,0.15302734375,0.9661458333333334,0.9237955729166667,1.0,0.0,0.0,0.0
16,64,ridge_cv,3,256,4.317708333333333,0.12579040721494786,0.11861231523607771,0.13172561605450783,0.026041666666666668,0.01171875,0.040364583333333336,0.12369791666666667,0.09306640625000001,0.1563151041666666,0.9661458333333334,0.9185872395833333,0.9993815104166667,0.0,0.0,0.0
16,128,no_attack,3,256,8.78125,-0.001051473019714665,-0.005049822127423749,0.0029604228099968147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
16,128,ols_pinv,3,256,8.78125,0.19119511089610064,0.1850998201362247,0.1969470215832043,0.17578125,0.14713541666666666,0.2090169270833333,0.4609375,0.41139322916666665,0.5071940104166667,1.0,1.0,1.0,0.0,0.0,0.0
16,128,oracle_true_residual,3,256,8.78125,1.0000000079849027,1.000000002856093,1.000000013256539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
16,128,polar_ols,3,256,8.78125,0.04453443121174242,0.03886055216474842,0.05086287884004019,0.0026041666666666665,0.0,0.0078125,0.013020833333333334,0.005208333333333333,0.0234375,1.0,1.0,1.0,0.0,0.0,0.0
16,128,procrustes_partial,3,256,8.78125,0.03888990636189224,0.0337975904823473,0.044082432459565064,0.0026041666666666665,0.0,0.0078125,0.010416666666666666,0.0026041666666666665,0.01953125,1.0,1.0,1.0,0.0,0.0,0.0
16,128,ridge_alpha0,3,256,8.78125,0.19119511089610064,0.1846101304974195,0.19719674595807363,0.17578125,0.14713541666666666,0.20963541666666666,0.4609375,0.40947265625,0.5052083333333334,1.0,1.0,1.0,0.0,0.0,0.0
16,128,ridge_cv,3,256,8.78125,0.19119511078263693,0.1843424163834458,0.19714554191002187,0.17578125,0.14514973958333333,0.20572916666666666,0.4609375,0.40817057291666664,0.5058919270833333,1.0,1.0,1.0,0.0,0.0,0.0
16,256,no_attack,3,256,17.74609375,-0.001051473019714665,-0.004944680043316489,0.0028590476685119853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
16,256,ols_pinv,3,256,17.74609375,0.2751102838992533,0.2700571355734201,0.2802492737624908,0.6184895833333334,0.57744140625,0.6576171874999999,0.8697916666666666,0.8450520833333334,0.8958333333333334,1.0,1.0,1.0,0.0,0.0,0.0
16,256,oracle_true_residual,3,256,17.74609375,1.0000000079849027,1.0000000022127975,1.0000000130620634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
16,256,polar_ols,3,256,17.74609375,0.08295387658095725,0.07615107252613076,0.09016331777550161,0.022135416666666668,0.0078125,0.039746093749999975,0.07291666666666667,0.0546875,0.09505208333333333,1.0,1.0,1.0,0.0,0.0,0.0
16,256,procrustes_partial,3,256,17.74609375,0.08501831806037752,0.08009109908611231,0.08969710617691154,0.033854166666666664,0.020833333333333332,0.049479166666666664,0.07682291666666667,0.0546875,0.1015625,1.0,1.0,1.0,0.0,0.0,0.0
16,256,ridge_alpha0,3,256,17.74609375,0.2751102838992533,0.26958841632369634,0.28007368886393225,0.6184895833333334,0.5716145833333334,0.6588541666666666,0.8697916666666666,0.8489583333333334,0.8939127604166667,1.0,1.0,1.0,0.0,0.0,0.0
16,256,ridge_cv,3,256,17.74609375,0.27511028635171186,0.270535264068056,0.2798774817990663,0.6184895833333334,0.57421875,0.6589192708333332,0.8697916666666666,0.8450520833333334,0.8932291666666666,1.0,1.0,1.0,0.0,0.0,0.0
16,512,no_attack,3,256,35.765625,-0.001051473019714665,-0.0051474520214429735,0.00330166126857083,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
16,512,ols_pinv,3,256,35.765625,0.39351790197109154,0.3849245678518201,0.4023274363590568,0.9388020833333334,0.9205729166666666,0.95703125,0.9856770833333334,0.9732747395833333,0.9947916666666666,1.0,1.0,1.0,0.0,0.0,0.0
16,512,oracle_true_residual,3,256,35.765625,1.0000000079849027,1.0000000015972212,1.000000012915655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
16,512,polar_ols,3,256,35.765625,0.16023956385265453,0.1494831332031159,0.17386497838820883,0.21484375,0.15947265624999998,0.2611002604166666,0.4036458333333333,0.34765625,0.46162109374999993,1.0,1.0,1.0,0.0,0.0,0.0
16,512,procrustes_partial,3,256,35.765625,0.16206588535388836,0.15078037094589195,0.1733736125050552,0.21223958333333334,0.17317708333333334,0.24739583333333334,0.4296875,0.3717122395833333,0.4902669270833333,1.0,1.0,1.0,0.0,0.0,0.0
16,512,ridge_alpha0,3,256,35.765625,0.39351790197109154,0.38508271802416133,0.40316360793395434,0.9388020833333334,0.9198893229166667,0.95771484375,0.9856770833333334,0.9739583333333334,0.9947916666666666,1.0,1.0,1.0,0.0,0.0,0.0
16,512,ridge_cv,3,256,35.765625,0.3935179019472816,0.3853892237142218,0.402380749066015,0.9388020833333334,0.9205729166666666,0.9564127604166667,0.9856770833333334,0.9745768229166667,0.9954752604166667,1.0,1.0,1.0,0.0,0.0,0.0
16,1024,no_attack,3,256,71.0859375,-0.001051473019714665,-0.004842457035962849,0.0028518484820448794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
16,1024,ols_pinv,3,256,71.0859375,0.5491494293451441,0.540298766808025,0.5579488264268786,0.9986979166666666,0.9947916666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
16,1024,oracle_true_residual,3,256,71.0859375,1.0000000079849027,1.0000000029034442,1.0000000128907047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
