cells,seed,m,cell,n_targets,n_anchors,rank,ridge_selected_relative_alpha,ridge_selected_absolute_alpha,ridge_cv_losses_json
16,11,64,10,7,3,3,1e-08,9.971680647145612e-10,"{""0.0"": 0.00028527568399600175, ""1e-08"": 0.00028527568383510473, ""1e-06"": 0.00028527568388710144, ""0.0001"": 0.000285275686782913, ""0.01"": 0.0002852759400501003, ""1.0"": 0.00028590473991561914, ""100.0"": 0.0002876673609545196}"
16,11,64,11,9,3,3,0.0,0.0,"{""0.0"": 0.0003561259374554381, ""1e-08"": 0.00035612593769739, ""1e-06"": 0.0003561259402595792, ""0.0001"": 0.00035612593881224945, ""0.01"": 0.00035612655217025235, ""1.0"": 0.00035745824214739627, ""100.0"": 0.0003606238394737408}"
16,11,64,12,18,5,5,1e-06,1.2463411574981606e-07,"{""0.0"": 0.0003915240838419925, ""1e-08"": 0.00039152408175529906, ""1e-06"": 0.00039152407956730254, ""0.0001"": 0.0003915240846500555, ""0.01"": 0.0003915251809399457, ""1.0"": 0.0003938976857897806, ""100.0"": 0.00039970629563425736}"
16,11,64,13,21,5,5,1e-06,1.0153523122978358e-07,"{""0.0"": 0.00039159431966725685, ""1e-08"": 0.00039159432228618737, ""1e-06"": 0.0003915943163975758, ""0.0001"": 0.0003915943197565275, ""0.01"": 0.00039159490769731113, ""1.0"": 0.0003929587155451952, ""100.0"": 0.00039646975885171973}"
16,11,64,14,33,9,9,1e-08,1.0937162381745013e-09,"{""0.0"": 0.00037477489377076424, ""1e-08"": 0.0003747748934708538, ""1e-06"": 0.00037477489541880445, ""0.0001"": 0.00037477489347444935, ""0.01"": 0.0003747757074288481, ""1.0"": 0.00037677029828396845, ""100.0"": 0.00038271248062945356}"
16,11,64,15,10,2,2,0.0,0.0,"{""0.0"": NaN, ""1e-08"": NaN, ""1e-06"": NaN, ""0.0001"": NaN, ""0.01"": NaN, ""1.0"": NaN, ""100.0"": NaN}"
16,11,128,0,11,14,14,0.0,0.0,"{""0.0"": 0.00032992066682197913, ""1e-08"": 0.0003299206673752741, ""1e-06"": 0.00032992067238604705, ""0.0001"": 0.0003299206689887073, ""0.01"": 0.000329923502355482, ""1.0"": 0.0003363372825526877, ""100.0"": 0.0003533092652783562}"
16,11,128,1,21,4,4,0.0,0.0,"{""0.0"": 0.0003161228254557771, ""1e-08"": 0.000316122825583205, ""1e-06"": 0.0003161228268109244, ""0.0001"": 0.0003161228260221821, ""0.01"": 0.0003161229904508249, ""1.0"": 0.0003165415585611624, ""100.0"": 0.0003177857561040794}"
16,11,128,2,10,13,13,1e-06,9.924172217821498e-08,"{""0.0"": 0.0003278600808908772, ""1e-08"": 0.00032786008185760454, ""1e-06"": 0.00032786008039617135, ""0.0001"": 0.0003278600860034196, ""0.01"": 0.0003278619457906245, ""1.0"": 0.00033239199721904055, ""100.0"": 0.0003459864686259065}"
16,11,128,3,21,2,2,0.0,0.0,"{""0.0"": NaN, ""1e-08"": NaN, ""1e-06"": NaN, ""0.0001"": NaN, ""0.01"": NaN, ""1.0"": NaN, ""100.0"": NaN}"
16,11,128,4,27,7,7,1e-06,1.0153592218486613e-07,"{""0.0"": 0.000332559766856497, ""1e-08"": 0.00033255976744302695, ""1e-06"": 0.0003325597645800212, ""0.0001"": 0.0003325597662899288, ""0.01"": 0.00033256056264407134, ""1.0"": 0.0003345865789347486, ""100.0"": 0.0003406371856693808}"
16,11,128,5,20,11,11,1e-06,9.98280574319254e-08,"{""0.0"": 0.00033685320436045295, ""1e-08"": 0.0003368532052851235, ""1e-06"": 0.0003368532041677443, ""0.0001"": 0.0003368532062357056, ""0.01"": 0.0003368541221285348, ""1.0"": 0.0003388273448342667, ""100.0"": 0.00034392118294169507}"
16,11,128,6,13,6,6,0.0,0.0,"{""0.0"": 0.0004208172225663331, ""1e-08"": 0.000420817223581908, ""1e-06"": 0.0004208172249123917, ""0.0001"": 0.0004208172263854412, ""0.01"": 0.0004208186021535224, ""1.0"": 0.00042375775970977185, ""100.0"": 0.0004310074831738703}"
16,11,128,7,5,4,4,1e-06,9.826834730453291e-08,"{""0.0"": 0.000311416386676662, ""1e-08"": 0.0003114163857867866, ""1e-06"": 0.00031141638477583046, ""0.0001"": 0.00031141638766800546, ""0.01"": 0.00031141651589145414, ""1.0"": 0.00031170707565324456, ""100.0"": 0.0003124279048893095}"
16,11,128,8,19,12,12,1e-06,1.1550989410776307e-07,"{""0.0"": 0.0003841951774422723, ""1e-08"": 0.00038419517759121673, ""1e-06"": 0.0003841951752125788, ""0.0001"": 0.00038419517859549965, ""0.01"": 0.00038419630110672235, ""1.0"": 0.0003871008791917506, ""100.0"": 0.0003965178139885519}"
16,11,128,9,11,4,4,1e-06,1.0875819757503836e-07,"{""0.0"": 0.00037637598117038737, ""1e-08"": 0.0003763759794688106, ""1e-06"": 0.00037637597673242137, ""0.0001"": 0.00037637597941101645, ""0.01"": 0.00037637636459463626, ""1.0"": 0.0003774250396379282, ""100.0"": 0.0003808814788630726}"
16,11,128,10,7,6,6,0.0001,9.416293879255704e-06,"{""0.0"": 0.000307741298335079, ""1e-08"": 0.0003077412974980885, ""1e-06"": 0.00030774129947190083, ""0.0001"": 0.00030774129696713496, ""0.01"": 0.0003077415618454592, ""1.0"": 0.000308451395568682, ""100.0"": 0.00031076821060832993}"
16,11,128,11,9,5,5,1e-08,1.1229861216789646e-09,"{""0.0"": 0.0003543710169704071, ""1e-08"": 0.00035437101370664186, ""1e-06"": 0.00035437102099697784, ""0.0001"": 0.00035437101974353485, ""0.01"": 0.00035437201242103435, ""1.0"": 0.0003562961479355077, ""100.0"": 0.0003605961363506044}"
16,11,128,12,18,7,7,0.0,0.0,"{""0.0"": 0.0003806653303252497, ""1e-08"": 0.00038066533048145587, ""1e-06"": 0.00038066533123860553, ""0.0001"": 0.00038066533535671747, ""0.01"": 0.000380666346219144, ""1.0"": 0.00038292656137393, ""100.0"": 0.00038869538197961595}"
16,11,128,13,21,9,9,0.0,0.0,"{""0.0"": 0.00037960998150300446, ""1e-08"": 0.000379609983950794, ""1e-06"": 0.00037960998278662773, ""0.0001"": 0.0003796099881532755, ""0.01"": 0.000379611493303362, ""1.0"": 0.0003835681292304968, ""100.0"": 0.00039594643073072446}"
16,11,128,14,33,17,17,1e-08,1.106508396757976e-09,"{""0.0"": 0.0003798662102747259, ""1e-08"": 0.0003798662099105979, ""1e-06"": 0.0003798662104137518, ""0.0001"": 0.0003798662118190063, ""0.01"": 0.00037986845055111855, ""1.0"": 0.0003849690465995758, ""100.0"": 0.00039931784603736007}"
16,11,128,15,10,7,7,0.0001,1.1394416871671861e-05,"{""0.0"": 0.0004284863381327264, ""1e-08"": 0.000428486338645312, ""1e-06"": 0.00042848633425708984, ""0.0001"": 0.00042848633306211625, ""0.01"": 0.0004284881123611175, ""1.0"": 0.00043321335663921415, ""100.0"": 0.000448149043756078}"
16,11,256,0,11,21,21,1e-06,1.1018395304799841e-07,"{""0.0"": 0.0003521939024035436, ""1e-08"": 0.0003521939024962359, ""1e-06"": 0.0003521939008164868, ""0.0001"": 0.0003521939012701717, ""0.01"": 0.0003521973348666801, ""1.0"": 0.00036014151253105066, ""100.0"": 0.0003829512940815789}"
16,11,256,1,21,17,17,1e-06,1.1438200940738022e-07,"{""0.0"": 0.00032697946425851035, ""1e-08"": 0.0003269794658130518, ""1e-06"": 0.0003269794624651584, ""0.0001"": 0.0003269794643903583, ""0.01"": 0.00032698166222666484, ""1.0"": 0.0003317405829947215, ""100.0"": 0.00034467779973304204}"
