N,log_N,num_coeff_moduli,total_coeff_bits,first_coeff_bit,last_coeff_bit,scale_bits,scale_to_total_ratio,proj_dim,batch_size,vector_packing_ratio,chain_name,batch_time_ms_mean,batch_time_ms_std
16384,14,3,130,50,50,30,0.23076923076923078,192,256,0.0234375,3-mod_higher,4039.7405666299164,6.715182778361985
16384,14,3,130,50,50,30,0.23076923076923078,256,16,0.03125,3-mod_higher,164.55386664407948,4.0969151035810905
16384,14,3,130,50,50,30,0.23076923076923078,256,64,0.03125,3-mod_higher,644.4024333419899,7.171283563580937
16384,14,3,130,50,50,30,0.23076923076923078,256,256,0.03125,3-mod_higher,2564.9435666855425,6.8104101264537125
16384,14,3,130,50,50,30,0.23076923076923078,320,16,0.0390625,3-mod_higher,273.0925667565316,1.9328712241506285
16384,14,3,130,50,50,30,0.23076923076923078,320,64,0.0390625,3-mod_higher,1084.1816333122551,7.35073612460642
16384,14,3,130,50,50,30,0.23076923076923078,320,256,0.0390625,3-mod_higher,4352.555700112134,12.899902597043175
16384,14,4,120,40,40,20,0.16666666666666666,32,16,0.00390625,4-mod_ml,211.06040004330376,0.11573457182391972
16384,14,4,120,40,40,20,0.16666666666666666,32,64,0.00390625,4-mod_ml,825.479133365055,2.56129122521289
16384,14,4,120,40,40,20,0.16666666666666666,32,256,0.00390625,4-mod_ml,3336.572700024893,21.729415167839374
16384,14,4,120,40,40,20,0.16666666666666666,64,16,0.0078125,4-mod_ml,234.96823338791728,1.8165720558824956
16384,14,4,120,40,40,20,0.16666666666666666,64,64,0.0078125,4-mod_ml,958.6802999644229,6.216062127294371
16384,14,4,120,40,40,20,0.16666666666666666,64,256,0.0078125,4-mod_ml,3870.824066689238,12.373620451007016
16384,14,4,120,40,40,20,0.16666666666666666,128,16,0.015625,4-mod_ml,272.85193333712715,3.1672266947777503
16384,14,4,120,40,40,20,0.16666666666666666,128,64,0.015625,4-mod_ml,1086.004633301248,4.086237952504971
16384,14,4,120,40,40,20,0.16666666666666666,128,256,0.015625,4-mod_ml,4315.601666690782,20.362941840020895
16384,14,4,120,40,40,20,0.16666666666666666,192,16,0.0234375,4-mod_ml,488.0339333321899,3.4629113047139835
16384,14,4,120,40,40,20,0.16666666666666666,192,64,0.0234375,4-mod_ml,1978.7593333361049,29.42295732985804
16384,14,4,120,40,40,20,0.16666666666666666,192,256,0.0234375,4-mod_ml,7777.896666666493,35.10624425535423
16384,14,4,120,40,40,20,0.16666666666666666,256,16,0.03125,4-mod_ml,310.8115333598107,10.297237503140089
16384,14,4,120,40,40,20,0.16666666666666666,256,64,0.03125,4-mod_ml,1206.5809333386521,10.217455610897396
16384,14,4,120,40,40,20,0.16666666666666666,256,256,0.03125,4-mod_ml,4805.193266676118,25.041161981368113
16384,14,4,120,40,40,20,0.16666666666666666,320,16,0.0390625,4-mod_ml,512.8696999357393,4.566401461908064
16384,14,4,120,40,40,20,0.16666666666666666,320,64,0.0390625,4-mod_ml,2056.8010332838944,8.064701596535164
16384,14,4,120,40,40,20,0.16666666666666666,320,256,0.0390625,4-mod_ml,8239.555933279917,17.448366967761466
16384,14,4,160,50,50,30,0.1875,32,16,0.00390625,4-mod_balanced,208.1398666681101,2.868186527659382
16384,14,4,160,50,50,30,0.1875,32,64,0.00390625,4-mod_balanced,823.6144667025656,4.8036981704450605
16384,14,4,160,50,50,30,0.1875,32,256,0.00390625,4-mod_balanced,3372.355966673543,19.337789496437896
16384,14,4,160,50,50,30,0.1875,64,16,0.0078125,4-mod_balanced,236.73933325335383,2.522135927649956
16384,14,4,160,50,50,30,0.1875,64,64,0.0078125,4-mod_balanced,944.765799989303,10.881156856864376
16384,14,4,160,50,50,30,0.1875,64,256,0.0078125,4-mod_balanced,3793.6998000368476,9.087960490207008
16384,14,4,160,50,50,30,0.1875,128,16,0.015625,4-mod_balanced,265.1852333607773,3.108154675555136
16384,14,4,160,50,50,30,0.1875,128,64,0.015625,4-mod_balanced,1062.7341334863256,8.555319970341564
16384,14,4,160,50,50,30,0.1875,128,256,0.015625,4-mod_balanced,4296.035533305258,25.815380031371216
16384,14,4,160,50,50,30,0.1875,192,16,0.0234375,4-mod_balanced,481.9566667235146,3.639987980310755
16384,14,4,160,50,50,30,0.1875,192,64,0.0234375,4-mod_balanced,1935.331966650362,22.378394019130923
16384,14,4,160,50,50,30,0.1875,192,256,0.0234375,4-mod_balanced,7688.368766723822,8.19407468747539
16384,14,4,160,50,50,30,0.1875,256,16,0.03125,4-mod_balanced,304.85409994920093,3.6315710072104865
16384,14,4,160,50,50,30,0.1875,256,64,0.03125,4-mod_balanced,1189.5950334146619,3.4746166042782143
16384,14,4,160,50,50,30,0.1875,256,256,0.03125,4-mod_balanced,4759.784233213092,19.86795950803461
16384,14,4,160,50,50,30,0.1875,320,16,0.0390625,4-mod_balanced,508.8596999800454,0.39886558906308844
16384,14,4,160,50,50,30,0.1875,320,64,0.0390625,4-mod_balanced,2050.0503667475036,6.770422368032543
16384,14,4,160,50,50,30,0.1875,320,256,0.0390625,4-mod_balanced,8257.289066755524,57.889811982941694
16384,14,3,160,60,60,40,0.25,32,16,0.00390625,3-mod_high,109.02816670325895,1.1673163215624731
16384,14,3,160,60,60,40,0.25,32,64,0.00390625,3-mod_high,438.5624999801318,3.144386616573449
16384,14,3,160,60,60,40,0.25,32,256,0.00390625,3-mod_high,1757.7598000255723,5.712216442457162
16384,14,3,160,60,60,40,0.25,64,16,0.0078125,3-mod_high,124.47906673575442,0.5114152545574424
16384,14,3,160,60,60,40,0.25,64,64,0.0078125,3-mod_high,498.65889999394614,1.4609313233136725
16384,14,3,160,60,60,40,0.25,64,256,0.0078125,3-mod_high,2014.917300005133,10.512564983459926
16384,14,3,160,60,60,40,0.25,128,16,0.015625,3-mod_high,141.94753331442675,0.5694009516462943
16384,14,3,160,60,60,40,0.25,128,64,0.015625,3-mod_high,567.8047000740966,3.628073232423327
16384,14,3,160,60,60,40,0.25,128,256,0.015625,3-mod_high,2277.5981333106756,7.063533429802144
16384,14,3,160,60,60,40,0.25,192,16,0.0234375,3-mod_high,250.23993337526917,0.8195456084696048
16384,14,3,160,60,60,40,0.25,192,64,0.0234375,3-mod_high,1002.2533667894701,2.626412831848928
16384,14,3,160,60,60,40,0.25,192,256,0.0234375,3-mod_high,4064.5876332807043,35.30066939664556
16384,14,3,160,60,60,40,0.25,256,16,0.03125,3-mod_high,154.45953335923454,0.7470062378810916
16384,14,3,160,60,60,40,0.25,256,64,0.03125,3-mod_high,631.3264333487799,1.617555240209548
16384,14,3,160,60,60,40,0.25,256,256,0.03125,3-mod_high,2516.1170000210404,4.218490965257562
16384,14,3,160,60,60,40,0.25,320,16,0.0390625,3-mod_high,265.687600011006,2.025164002307317
16384,14,3,160,60,60,40,0.25,320,64,0.0390625,3-mod_high,1082.8108333516866,10.047147514512998
16384,14,3,160,60,60,40,0.25,320,256,0.0390625,3-mod_high,4341.724000017469,7.25603240629892
