cells,m,method,n_seeds,n_targets_per_seed,mean_anchors_in_target_cell,cosine_mean,cosine_ci_low,cosine_ci_high,r1_mean,r1_ci_low,r1_ci_high,r10_mean,r10_ci_low,r10_ci_high,coverage_any_mean,coverage_any_ci_low,coverage_any_ci_high,coverage_full_rank_mean,coverage_full_rank_ci_low,coverage_full_rank_ci_high
1,16,ridge_cv,3,256,16.0,0.24969678758385674,0.2463391933759822,0.2532038821016244,0.5169270833333334,0.46285807291666664,0.578125,0.8880208333333334,0.8456705729166667,0.9283854166666666,1.0,1.0,1.0,0.0,0.0,0.0
1,32,no_attack,3,256,32.0,-0.0059497628455588225,-0.010320029783296962,-0.0016894619348892682,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,32,ols_pinv,3,256,32.0,0.35564194205898936,0.3510527176276242,0.3597416200601515,0.98828125,0.9791666666666666,0.99609375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,32,oracle_true_residual,3,256,32.0,1.0000000079849027,1.000000003142591,1.0000000128208755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,32,polar_ols,3,256,32.0,0.1280199840578423,0.11994337496060066,0.1356228210508176,0.06380208333333333,0.040364583333333336,0.08984375,0.20182291666666666,0.171875,0.23307291666666666,1.0,1.0,1.0,0.0,0.0,0.0
1,32,procrustes_partial,3,256,32.0,0.13315351060100292,0.12829951577590154,0.1378894476114388,0.05859375,0.033854166666666664,0.08662109374999996,0.18880208333333334,0.16276041666666666,0.21875,1.0,1.0,1.0,0.0,0.0,0.0
1,32,ridge_alpha0,3,256,32.0,0.35564194205898936,0.351160179529822,0.3596414734162805,0.98828125,0.9791666666666666,0.9954752604166667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,32,ridge_cv,3,256,32.0,0.35564194269340255,0.3513466496705373,0.359613350482009,0.98828125,0.9784830729166667,0.9947916666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,64,no_attack,3,256,64.0,-0.0059497628455588225,-0.010241821041049629,-0.0015263828800493918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,64,ols_pinv,3,256,64.0,0.5008559789478962,0.4975008420083804,0.5040117864387323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,64,oracle_true_residual,3,256,64.0,1.0000000079849027,1.0000000022258526,1.000000013603103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,64,polar_ols,3,256,64.0,0.24931730120355153,0.24243934515022778,0.2556279013657934,0.6223958333333334,0.58134765625,0.6614583333333334,0.8567708333333334,0.8203125,0.8880208333333334,1.0,1.0,1.0,0.0,0.0,0.0
1,64,procrustes_partial,3,256,64.0,0.25529025129696103,0.24962223294533703,0.2610717182462716,0.6796875,0.6484375,0.7135416666666666,0.8763020833333334,0.8495768229166667,0.9056315104166667,1.0,1.0,1.0,0.0,0.0,0.0
1,64,ridge_alpha0,3,256,64.0,0.5008559789478962,0.4976597065529661,0.5037143030642963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,64,ridge_cv,3,256,64.0,0.5008559795175924,0.4980521563818901,0.5043084450148536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,no_attack,3,256,128.0,-0.0059497628455588225,-0.010061506856597647,-0.0016875328671532885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,ols_pinv,3,256,128.0,0.7038878301224001,0.7010781794250409,0.7064695497993788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,oracle_true_residual,3,256,128.0,1.0000000079849027,1.000000002522175,1.000000013188325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,polar_ols,3,256,128.0,0.49836477324745854,0.49377400803847116,0.5027228855350011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,procrustes_partial,3,256,128.0,0.4954302135585265,0.4908208861749198,0.5004517775058249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,ridge_alpha0,3,256,128.0,0.7038878301224001,0.7008712562214363,0.7066501095809334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,128,ridge_cv,3,256,128.0,0.7038878281512885,0.7011258582644517,0.7064341421246229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,no_attack,3,256,256.0,-0.0059497628455588225,-0.010242824538248357,-0.0020994251704026293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,ols_pinv,3,256,256.0,0.9598461372668526,0.9590291799426957,0.9606718663288235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,oracle_true_residual,3,256,256.0,1.0000000079849027,1.0000000023661484,1.000000013136423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,polar_ols,3,256,256.0,0.9236456867497749,0.9210223045290307,0.9266523551470808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,procrustes_partial,3,256,256.0,0.9222263316631064,0.9188031115880211,0.9258115437673223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,ridge_alpha0,3,256,256.0,0.9598461372668526,0.9590174652662331,0.9606436025697783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,256,ridge_cv,3,256,256.0,0.9598461388721308,0.9590666060725839,0.9606857429064426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,512,no_attack,3,256,512.0,-0.0059497628455588225,-0.010590442205837788,-0.001337766989844848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,512,ols_pinv,3,256,512.0,1.0000000039187167,0.9999999997909359,1.0000000082752931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,512,oracle_true_residual,3,256,512.0,1.0000000079849027,1.0000000022952342,1.0000000138764316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,512,polar_ols,3,256,512.0,1.0000000017456454,0.9999999974973018,1.0000000057768652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,512,procrustes_partial,3,256,512.0,1.0000000038007237,0.9999999994627111,1.000000008427268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,512,ridge_alpha0,3,256,512.0,1.0000000039187167,0.9999999996078274,1.0000000086794294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,512,ridge_cv,3,256,512.0,1.0000000039187167,0.9999999992209747,1.000000007845256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,no_attack,3,256,1024.0,-0.0059497628455588225,-0.010116791345340565,-0.0014684332167802343,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,ols_pinv,3,256,1024.0,1.000000005523493,1.0000000003480267,1.0000000101863284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,oracle_true_residual,3,256,1024.0,1.0000000079849027,1.0000000030185,1.0000000129387654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,polar_ols,3,256,1024.0,1.0000000011742298,0.9999999961673512,1.0000000056688068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,procrustes_partial,3,256,1024.0,1.0000000020039022,0.9999999977893999,1.0000000060679437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,ridge_alpha0,3,256,1024.0,1.000000005523493,1.0000000010112968,1.0000000104330509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1024,ridge_cv,3,256,1024.0,1.000000005523493,1.0000000003564435,1.000000010637828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
