suite,encoder,dataset,n_corpus,n_queries,dimension,score_max_abs_error,top10_exact_fraction,top100_exact_fraction,method,ndcg10,recall10,recall100
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,old_centered_full,0.3191878013074776,0.6673804425410421,0.947180585296217
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,corrected_full,0.3576902415750017,0.7237687366167024,0.9628836545324768
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,old_centered_half_pca,0.29794216561295284,0.6266952177016417,0.9343326195574589
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,corrected_half_pca,0.32794121194703263,0.6788008565310493,0.9450392576730906
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,legacy_hybrid_dpub48_kc100,0.334736781905077,0.6695217701641685,0.8229835831548894
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,corrected_shard_centered_router_dpub48_kc100,0.3347680622411504,0.6695217701641685,0.8229835831548894
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,corrected_shard_uncentered_router_dpub48_kc100,0.3434501897255426,0.6887937187723054,0.8486795146324054
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,legacy_hybrid_dpub48_kc200,0.34515159248801175,0.694503925767309,0.887937187723055
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,corrected_shard_centered_router_dpub48_kc200,0.3451828728240851,0.694503925767309,0.887937187723055
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,corrected_shard_uncentered_router_dpub48_kc200,0.34985239608427066,0.7044967880085653,0.9022127052105638
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,legacy_hybrid_dpub96_kc100,0.3522416862960562,0.7102069950035689,0.8986438258386866
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,corrected_shard_centered_router_dpub96_kc100,0.3522729666321296,0.7102069950035689,0.8986438258386866
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,corrected_shard_uncentered_router_dpub96_kc100,0.35401163336204133,0.7144896502498216,0.9129193433261956
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,legacy_hybrid_dpub96_kc200,0.355747786771384,0.7194860813704497,0.9386152748037117
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,corrected_shard_centered_router_dpub96_kc200,0.3557790671074574,0.7194860813704497,0.9386152748037117
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,corrected_shard_uncentered_router_dpub96_kc200,0.3562672822167716,0.7209136331192005,0.9421841541755889
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,raw,0.6370362842054732,0.7670000000000001,0.915
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,old_centered_full,0.5862984009385985,0.7337777777777778,0.8883333333333333
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,corrected_full,0.6370362842054732,0.7670000000000001,0.915
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,old_centered_half_pca,0.5852460071777423,0.727111111111111,0.8916666666666667
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,corrected_half_pca,0.6224317938381885,0.7681111111111111,0.91
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,legacy_hybrid_dpub96_kc100,0.6264160904961685,0.7503333333333334,0.8436666666666667
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,corrected_shard_centered_router_dpub96_kc100,0.6264160904961685,0.7503333333333334,0.8436666666666667
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,corrected_shard_uncentered_router_dpub96_kc100,0.6236590261267165,0.7503333333333334,0.8629999999999999
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,legacy_hybrid_dpub96_kc200,0.6300211851951277,0.7570000000000001,0.8770000000000001
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,corrected_shard_centered_router_dpub96_kc200,0.6300211851951277,0.7570000000000001,0.8770000000000001
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,corrected_shard_uncentered_router_dpub96_kc200,0.635517179228858,0.7636666666666667,0.8953333333333334
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,legacy_hybrid_dpub192_kc100,0.6348140619832509,0.7670000000000001,0.8870000000000001
