run_id,geometry_id,method,m,n,n_pii,token_f1_mean,token_f1_ci_low,token_f1_ci_high,bleu_mean,bleu_ci_low,bleu_ci_high,exact_match_mean,exact_match_ci_low,exact_match_ci_high,normalized_exact_match_mean,normalized_exact_match_ci_low,normalized_exact_match_ci_high,pii_recall_mean,pii_recall_ci_low,pii_recall_ci_high,pii_identifier_recall_mean,pii_identifier_recall_ci_low,pii_identifier_recall_ci_high,pii_name_recall_mean,pii_name_recall_ci_low,pii_name_recall_ci_high,pii_email_recall_mean,pii_email_recall_ci_low,pii_email_recall_ci_high,pii_phone_recall_mean,pii_phone_recall_ci_low,pii_phone_recall_ci_high,pii_card_recall_mean,pii_card_recall_ci_low,pii_card_recall_ci_high,geometry_cosine_mean,geometry_cosine_ci_low,geometry_cosine_ci_high,recovered_text_embedding_cosine_mean,recovered_text_embedding_cosine_ci_low,recovered_text_embedding_cosine_ci_high
p192_c16_cs17_ks103_largest,p192_c16_cs17,raw,,12,0,0.6694715126217484,0.5825737796473605,0.7660363409701388,0.20697538160228027,0.11322089096134309,0.31311308059805987,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9999999701976776,0.9999999354283015,1.0000000049670537,0.9057780702908834,0.8708920507381359,0.9389466388771931
p192_c16_cs17_ks103_largest,p192_c16_cs17,unknown_key,,12,0,0.15682732386900838,0.10794611322894851,0.21196634062192238,0.024796364996091187,0.018301350338850664,0.03129489648424295,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7902983129024506,0.7571472148100535,0.8227949182192484,0.5460307399431864,0.49217308883865674,0.6104207017769416
p192_c16_cs17_ks103_largest_pii,p192_c16_cs17,ols_m16,16,12,12,0.3985216942163469,0.3353648208270897,0.4537193888325197,0.10147693160474636,0.06375756367949659,0.1478304577301747,0.0,0.0,0.0,0.0,0.0,0.0,0.3548387096774194,0.2903225806451613,0.41379310344827586,0.0,0.0,0.0,0.9166666666666666,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9893564780553182,0.9876556552946567,0.9907730148484309,0.9055680831273397,0.888301133736968,0.9216444607824087
p192_c16_cs17_ks103_largest_pii,p192_c16_cs17,ols_m32,32,12,12,0.42116464356344413,0.3900315928726723,0.45206678284789226,0.07952866083335185,0.055785753047534255,0.10834594146242768,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.2413793103448276,0.3870967741935484,0.0,0.0,0.0,0.8333333333333334,0.5833333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9931872536738714,0.9921779322127502,0.9942199962834517,0.9138904164234797,0.8935209829360247,0.9311870546390613
p192_c16_cs17_ks103_largest_pii,p192_c16_cs17,ols_m64,64,12,12,0.3451094932978991,0.2639209739535826,0.4126245202060419,0.0912859546937922,0.06202975001731793,0.12453407768798788,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.22580645161290322,0.4,0.0,0.0,0.0,0.8333333333333334,0.5833333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9965932468573252,0.996008238568902,0.997178067266941,0.870877909163634,0.7933868203312159,0.9227491042266289
p192_c16_cs17_ks103_largest_pii,p192_c16_cs17,ols_m8,8,12,12,0.38207610022827415,0.33435521845304456,0.4317730596697988,0.06848389457845577,0.05352895677018286,0.08443205103421264,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.15613162878787878,0.36363636363636365,0.0,0.0,0.0,0.6666666666666666,0.4166666666666667,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9870994538068771,0.9853807860364516,0.9888790948937337,0.8966012348731359,0.870732244104147,0.9195965453982353
p192_c16_cs17_ks103_largest_pii,p192_c16_cs17,oracle_residual,,12,12,0.37267806267806264,0.3070227496269163,0.42755947293447294,0.09485479856336491,0.06343034430001268,0.13072465820907211,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.1875,0.38724078341013746,0.0,0.0,0.0,0.75,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,1.000000034769376,0.9999999950329462,1.0000000794728596,0.9098409364620844,0.8845668017864227,0.9332534424960612
p192_c16_cs17_ks103_largest_pii,p192_c16_cs17,prefix_only,,12,12,0.3729904827805877,0.31207403109342763,0.4281849142965146,0.0883526822182893,0.06044780830421618,0.12113234479025413,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.15151515151515152,0.36666666666666664,0.0,0.0,0.0,0.6666666666666666,0.4166666666666667,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9846079548199972,0.9832404121756554,0.985919430355231,0.8919046769539515,0.8651270817965269,0.9167268133411806
p192_c16_cs17_ks103_largest_pii,p192_c16_cs17,procrustes_m32,32,12,12,0.2564024428567157,0.20020825965222516,0.311502279614161,0.049349019431748686,0.035983947074177916,0.06514685876104793,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.09375,0.30303030303030304,0.0,0.0,0.0,0.5,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9865462879339854,0.9845635073880354,0.9886565066874027,0.8487301568190256,0.8211711766819159,0.8752790636072556
p192_c16_cs17_ks103_largest_pii,p192_c16_cs17,procrustes_m64,64,12,12,0.3612286041750745,0.30338726826045664,0.41497950214707463,0.05771869922756309,0.035935720009515885,0.0884049779919934,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.19339717741935483,0.39285714285714285,0.0,0.0,0.0,0.75,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9932541499535242,0.9921124887963136,0.9943280164152384,0.8485299895207087,0.7759124342352153,0.9001753655572733
p192_c16_cs17_ks103_largest_pii,p192_c16_cs17,raw,,12,12,0.37267806267806264,0.3001576702618369,0.4296614774114775,0.09485479856336491,0.06350803324454894,0.13272871315849116,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.1875,0.39285714285714285,0.0,0.0,0.0,0.75,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,1.0000000099341075,0.9999999850988388,1.0000000447034836,0.9098409364620844,0.8859061410029729,0.933829421425859
p192_c16_cs17_ks103_largest_pii,p192_c16_cs17,unknown_key,,12,12,0.19397911270906223,0.15970618409433274,0.2299047627757667,0.033824211573047415,0.02778840509094227,0.040967500325726436,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.02939075630252101,0.19370967741935396,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9696794003248215,0.9673715321967999,0.972047340621551,0.7911138435204824,0.7607876899341742,0.8229417402297259
p384_c32_cs29_ks107_largest,p384_c32_cs29,ols_m16,16,12,0,0.5616468674449886,0.5029996992749689,0.6241790166912302,0.09881065523581385,0.05557649911517725,0.15316777179721097,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9864800224701563,0.9853468795617422,0.987688850487272,0.8825767536958059,0.8536636989563704,0.9069705256571372
