suite,encoder,dataset,epsilon,sigma,privacy,ndcg10,ndcg10_ci95_low,ndcg10_ci95_high,recall10,recall10_ci95_low,recall10_ci95_high,recall100,recall100_ci95_low,recall100_ci95_high,score_pearson,score_pearson_ci95_low,score_pearson_ci95_high,score_rmse,score_rmse_ci95_low,score_rmse_ci95_high,clean_top10_overlap,clean_top10_overlap_ci95_low,clean_top10_overlap_ci95_high
beir,multilingual-e5-base,nfcorpus,1024.0,0.049054348512207455,formal_bounded_record_dp,0.08986877989449653,0.07501334118244875,0.10609318981690473,0.03941214328730971,0.028553880733084902,0.05330700068542205,0.12394378539637939,0.10695966535757007,0.14235123699054814,0.37012166305885097,0.36032357124151354,0.38136805117192185,0.3104623747008941,0.309476343185125,0.3114108681961321,0.0976264189886481,0.08730392156862744,0.10794891640866872
beir,multilingual-e5-base,nfcorpus,2048.0,0.03364862959799442,formal_bounded_record_dp,0.1715357951309855,0.14678923249253845,0.19797070170536105,0.07526221742918456,0.06037585478144823,0.09314036218478487,0.18370985273002952,0.1606075426945955,0.2061101001534634,0.5305617505421107,0.5222123279789069,0.5396955183179822,0.20492597364499016,0.2042673782643336,0.20552281900402683,0.21971104231166153,0.203921568627451,0.23725748194014445
beir,multilingual-e5-base,nfcorpus,4096.0,0.023285155746839942,formal_bounded_record_dp,0.24833682474714036,0.21804068544977404,0.2768380888589161,0.11854688540934691,0.09862486580649905,0.13944190066151543,0.2311202973031899,0.204683528281034,0.25759884620520695,0.6949955067392866,0.6878837894561144,0.7020377250681351,0.12214677616236758,0.12176944605750196,0.12251985178625162,0.38410732714138285,0.36346491228070177,0.40330495356037144
beir,multilingual-e5-base,nfcorpus,8192.0,0.01621503157066274,formal_bounded_record_dp,0.29315035883084795,0.25898944066273516,0.326036466803963,0.1375701207085381,0.11449977173979153,0.16367710650910147,0.2629942056476779,0.23581524797054013,0.2919652341169585,0.8233328306725891,0.8183465302267353,0.8284580491591718,0.06750637872436563,0.06729991325074433,0.06771532562347209,0.5385964912280703,0.5190918472652218,0.5570691434468524
beir,multilingual-e5-base,nfcorpus,16384.0,0.011342138868479306,formal_bounded_record_dp,0.3122183372433037,0.277042804099899,0.3470248921001008,0.14577337181440111,0.12253292050113505,0.1717185412943067,0.2734979914912182,0.24534480322840851,0.3036256384026259,0.9047881575172374,0.9018808919532447,0.9078127537467455,0.03570859913911626,0.03558969242644655,0.035823110933359624,0.658204334365325,0.6413828689370485,0.6753379772961816
beir,multilingual-e5-base,nfcorpus,32768.0,0.007958795070825649,formal_bounded_record_dp,0.3212364672449147,0.2874244562492607,0.35598483473198167,0.1512894067922527,0.12690037937765028,0.17562440094999487,0.27803235211133687,0.2501667849776752,0.3080509155552185,0.9506622196205491,0.9488825071405158,0.9522970758826698,0.018570413796941656,0.018507146186972426,0.018636171533403797,0.7515995872033023,0.7368421052631579,0.7661506707946336
beir,multilingual-e5-base,scifact,inf,0.0,nonprivate,0.6370362842054732,0.5910482498735383,0.6848332018272696,0.7670000000000001,0.7206611111111111,0.8180083333333333,0.915,0.8833333333333333,0.9433333333333334,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,0.5,16.1152530766871,formal_bounded_record_dp,0.003091173015305335,0.0002270915528760957,0.00808310477452586,0.006481481481481481,0.0007407407407407407,0.014444444444444444,0.023370370370370368,0.011327777777777777,0.03770555555555554,0.009550767276773904,0.004588751731082838,0.01422530994474151,0.7539978119000964,0.7524061886448444,0.7555386655138129,0.0022222222222222222,0.0010000000000000002,0.0035583333333333187
beir,multilingual-e5-base,scifact,1.0,8.449366228011328,formal_bounded_record_dp,0.003091173015305335,0.0003344777729599791,0.007829243948770825,0.006481481481481481,0.0005555555555555556,0.014444444444444444,0.023370370370370368,0.011074074074074075,0.03833333333333333,0.01062009661415006,0.005651882236681683,0.015478706515742294,0.7524669473450094,0.7509630034950712,0.7540447542513246,0.0022222222222222222,0.0010000000000000002,0.003666666666666667
beir,multilingual-e5-base,scifact,2.0,4.460957003325374,formal_bounded_record_dp,0.003091173015305335,0.0003476138711279677,0.007613121771805482,0.006481481481481481,0.0011111111111111111,0.014444444444444444,0.023370370370370368,0.012222222222222221,0.03785555555555553,0.012629902816323101,0.0078161597240826,0.017285868140912965,0.7495897635715154,0.7479593121552128,0.7511684109867964,0.0022222222222222222,0.0010000000000000002,0.003666666666666667
beir,multilingual-e5-base,scifact,4.0,2.3870395613531454,formal_bounded_record_dp,0.0032178331278417843,0.00024267492979796018,0.007957563859292959,0.006481481481481481,0.0011111111111111111,0.014444444444444444,0.02448148148148148,0.012222222222222221,0.04,0.01632920916159684,0.011355725249736107,0.021043085294190394,0.7442947779872797,0.742720391219052,0.7459826370036202,0.002333333333333334,0.0011111111111111113,0.0037777777777777775
beir,multilingual-e5-base,scifact,8.0,1.3058720745872001,formal_bounded_record_dp,0.0033059095194948205,0.0003714676777026717,0.008054941538426789,0.006481481481481481,0.0007407407407407407,0.014444444444444444,0.030037037037037036,0.01562777777777778,0.04611111111111111,0.022918249116015327,0.01784646580907204,0.02758369957091256,0.7348696201383724,0.7332871476382429,0.7363500163528623,0.002444444444444445,0.0012222222222222224,0.0037777777777777775
beir,multilingual-e5-base,scifact,16.0,0.73722405290227,formal_bounded_record_dp,0.003938786967006159,0.0006753679903484392,0.009039503068430842,0.008148148148148147,0.001851851851851852,0.016305555555555504,0.031148148148148147,0.016888888888888887,0.04944537037037036,0.03414681330630332,0.028957392617211843,0.03863801318033562,0.7188428429397631,0.7172943725691175,0.7203508848911263,0.002777777777777778,0.0014444444444444446,0.004222222222222222
beir,multilingual-e5-base,scifact,32.0,0.43237492535347166,formal_bounded_record_dp,0.004375812031035364,0.0009635494210596263,0.009487104701398108,0.009259259259259259,0.0022222222222222222,0.017407407407407406,0.03818518518518518,0.02022222222222222,0.0576333333333333,0.052366098246355665,0.047258288667347104,0.05700204205363947,0.6930065139789048,0.691549030100823,0.6944159104296285,0.0032222222222222227,0.001666666666666667,0.005
beir,multilingual-e5-base,scifact,64.0,0.26380843334171206,formal_bounded_record_dp,0.00541007810927976,0.0013554211491325152,0.010948299151134782,0.010370370370370368,0.0027777777777777775,0.02,0.04655555555555555,0.02699814814814815,0.06778055555555554,0.08068162629858695,0.0760109957444382,0.08509988372862214,0.6535417945609622,0.6522198449757222,0.6549159169539912,0.004222222222222222,0.0025555555555555557,0.006000000000000001
beir,multilingual-e5-base,scifact,128.0,0.16683264581484528,formal_bounded_record_dp,0.008651115165190371,0.002777408781213897,0.015807296588176607,0.012592592592592591,0.004435185185185186,0.02222222222222222,0.07738888888888888,0.051347685185185184,0.10439027777777776,0.12346229559526367,0.1183684100484962,0.12791184298149197,0.596326159584196,0.5950163960620753,0.5975311772258862,0.006555555555555556,0.004333333333333333,0.009000000000000001
beir,multilingual-e5-base,scifact,256.0,0.10865852949393662,formal_bounded_record_dp,0.015791565898697714,0.006564176104660377,0.026482647674585292,0.028148148148148148,0.011291666666666665,0.04722222222222222,0.1297962962962963,0.09925694444444444,0.16102499999999995,0.18733713039870226,0.18240510531732765,0.19192850875243928,0.5180541786146631,0.5169681215509813,0.5191821981565167,0.013333333333333334,0.010000000000000004,0.016999999999999998
beir,multilingual-e5-base,scifact,512.0,0.0723951243591535,formal_bounded_record_dp,0.04213036718416703,0.02384335074529428,0.06304810260365726,0.07083333333333333,0.040736111111111105,0.10425925925925923,0.2437962962962963,0.20349166666666665,0.2854282407407407,0.28198715627482257,0.2769062426322692,0.2870180574107852,0.41922782205893744,0.41836223758321855,0.42007551275423355,0.035111111111111114,0.029775,0.04066666666666667
beir,multilingual-e5-base,scifact,1024.0,0.049054348512207455,formal_bounded_record_dp,0.13328133605704015,0.10459917516670947,0.1636323099867639,0.20248148148148146,0.16521157407407408,0.24433333333333332,0.4517407407407407,0.40379027777777776,0.5000249999999998,0.41637815455102656,0.4107893991592425,0.42186535431608035,0.30860147679749855,0.30796797198042275,0.30920718820568305,0.08744444444444444,0.07855555555555556,0.09722499999999998
