suite,encoder,dataset,epsilon,sigma,gallery_size,chance_r1,chance_r10,linkage_r1,linkage_r1_ci95_low,linkage_r1_ci95_high,linkage_r10,linkage_r10_ci95_low,linkage_r10_ci95_high,pairwise_auc_contribution,pairwise_auc_contribution_ci95_low,pairwise_auc_contribution_ci95_high
beir,multilingual-e5-base,scifact,64.0,0.26380843334171206,5000,0.0002,0.002,0.03125,0.014322916666666666,0.05078125,0.13151041666666666,0.09765625,0.1640625,0.9014485677083334,0.8820780436197917,0.9210611979166666
beir,multilingual-e5-base,scifact,128.0,0.16683264581484528,5000,0.0002,0.002,0.19401041666666666,0.15885416666666666,0.234375,0.4427083333333333,0.3919270833333333,0.49222005208333314,0.9769694010416666,0.96923828125,0.9833190917968749
beir,multilingual-e5-base,scifact,256.0,0.10865852949393662,5000,0.0002,0.002,0.67578125,0.6275716145833333,0.71875,0.921875,0.8971028645833332,0.9453125,0.9984537760416666,0.9971516927083334,0.99951171875
beir,multilingual-e5-base,scifact,512.0,0.0723951243591535,5000,0.0002,0.002,0.9908854166666666,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,1024.0,0.049054348512207455,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,2048.0,0.03364862959799442,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,4096.0,0.023285155746839942,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,8192.0,0.01621503157066274,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,16384.0,0.011342138868479306,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,32768.0,0.007958795070825649,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,arguana,0.5,16.1152530766871,5000,0.0002,0.002,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0078125,0.5066731770833334,0.47729085286458334,0.5347513834635417
beir,multilingual-e5-small,arguana,1.0,8.449366228011328,5000,0.0002,0.002,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0078125,0.5106608072916666,0.4814453125,0.5384216308593749
beir,multilingual-e5-small,arguana,2.0,4.460957003325374,5000,0.0002,0.002,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0078125,0.529296875,0.4995869954427083,0.5585164388020832
beir,multilingual-e5-small,arguana,4.0,2.3870395613531454,5000,0.0002,0.002,0.0,0.0,0.0,0.00390625,0.0,0.015625,0.5528971354166666,0.523681640625,0.5832560221354166
beir,multilingual-e5-small,arguana,8.0,1.3058720745872001,5000,0.0002,0.002,0.0,0.0,0.0,0.006510416666666667,0.0,0.01953125,0.5957845052083334,0.567626953125,0.6236206054687499
