suite,encoder,dataset,seed,epsilon,sigma,n_queries,ndcg10,recall10,recall100,score_pearson,score_rmse,clean_top10_overlap,n_attack_targets,linkage_r1,linkage_r10,pairwise_auc
beir,multilingual-e5-base,scifact,11,16.0,0.73722405290227,300,0.003235355396184135,0.007777777777777777,0.03177777777777778,0.028773141409527206,0.7192216992511467,0.003,256,0.0,0.0078125,0.671142578125
beir,multilingual-e5-base,scifact,23,16.0,0.73722405290227,300,0.006239946558100106,0.01,0.025,0.039087403577179,0.7188702855095243,0.002666666666666667,256,0.0,0.0078125,0.676025390625
beir,multilingual-e5-base,scifact,31,16.0,0.73722405290227,300,0.0023410589467342344,0.006666666666666667,0.03666666666666667,0.03457989493220375,0.7184365440586186,0.002666666666666667,256,0.0,0.0078125,0.66162109375
beir,multilingual-e5-base,scifact,11,32.0,0.43237492535347166,300,0.00341234729776422,0.007777777777777777,0.035111111111111114,0.04695837722286206,0.6933745274772154,0.003666666666666667,256,0.0,0.02734375,0.78173828125
beir,multilingual-e5-base,scifact,23,32.0,0.43237492535347166,300,0.006264401258085173,0.01,0.03166666666666667,0.0572279799216423,0.6930426012157513,0.002666666666666667,256,0.00390625,0.05078125,0.792236328125
beir,multilingual-e5-base,scifact,31,32.0,0.43237492535347166,300,0.0034506875372566997,0.01,0.04777777777777777,0.05291193759456263,0.6926024132437479,0.0033333333333333335,256,0.00390625,0.03125,0.7607421875
beir,multilingual-e5-base,scifact,11,64.0,0.26380843334171206,300,0.004093472200671014,0.007777777777777777,0.035111111111111114,0.07526432163052227,0.6538898982607333,0.004333333333333333,256,0.01953125,0.12109375,0.89208984375
beir,multilingual-e5-base,scifact,23,64.0,0.26380843334171206,300,0.00724900354241161,0.01,0.04566666666666666,0.08536634077106932,0.6535903433285023,0.003666666666666667,256,0.03515625,0.1484375,0.914794921875
beir,multilingual-e5-base,scifact,31,64.0,0.26380843334171206,300,0.004887758584756655,0.013333333333333334,0.05888888888888888,0.08141421649416929,0.653145142093651,0.004666666666666667,256,0.0390625,0.125,0.8974609375
beir,multilingual-e5-base,scifact,11,128.0,0.16683264581484528,300,0.0074442953914316086,0.011111111111111112,0.06344444444444444,0.11812332676952503,0.5966387680862104,0.007,256,0.19921875,0.453125,0.974853515625
beir,multilingual-e5-base,scifact,23,128.0,0.16683264581484528,300,0.010783952219779722,0.013333333333333334,0.07983333333333333,0.12776742719058595,0.5963907625456215,0.005666666666666667,256,0.19921875,0.45703125,0.98095703125
beir,multilingual-e5-base,scifact,31,128.0,0.16683264581484528,300,0.007725097884359782,0.013333333333333334,0.08888888888888888,0.12449613282568002,0.5959489481207559,0.007,256,0.18359375,0.41796875,0.97509765625
beir,multilingual-e5-base,scifact,11,256.0,0.10865852949393662,300,0.010634344338586944,0.01777777777777778,0.11761111111111111,0.18229258092801554,0.5183073672310171,0.013000000000000001,256,0.65625,0.91796875,0.998291015625
beir,multilingual-e5-base,scifact,23,256.0,0.10865852949393662,300,0.01584738070032662,0.025,0.1326111111111111,0.19088402112013314,0.5181357582994945,0.012,256,0.6953125,0.92578125,0.99853515625
beir,multilingual-e5-base,scifact,31,256.0,0.10865852949393662,300,0.020892972657179574,0.041666666666666664,0.13916666666666666,0.188834789147958,0.5177194103134775,0.015,256,0.67578125,0.921875,0.99853515625
beir,multilingual-e5-base,scifact,11,512.0,0.0723951243591535,300,0.024539379609140686,0.042777777777777776,0.2593888888888889,0.2776665085614313,0.4193932205984747,0.035666666666666666,256,0.98828125,1.0,1.0
beir,multilingual-e5-base,scifact,23,512.0,0.0723951243591535,300,0.049551687752164224,0.085,0.24605555555555556,0.28418787053968203,0.41932021585586615,0.03233333333333334,256,0.984375,1.0,1.0
beir,multilingual-e5-base,scifact,31,512.0,0.0723951243591535,300,0.05230003419119618,0.08472222222222221,0.22594444444444445,0.2841070897233544,0.4189700297224715,0.03733333333333333,256,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,11,1024.0,0.049054348512207455,300,0.11869180597376397,0.19972222222222225,0.4768333333333334,0.4134112830958752,0.3086627373595449,0.08700000000000001,256,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,23,1024.0,0.049054348512207455,300,0.14398709540139487,0.19327777777777777,0.44138888888888883,0.41670982074685886,0.3086884830058819,0.085,256,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,31,1024.0,0.049054348512207455,300,0.13716510679596156,0.21444444444444444,0.437,0.4190133598103455,0.3084532100270688,0.09033333333333333,256,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,11,2048.0,0.03364862959799442,300,0.3188240523871617,0.44083333333333335,0.7123333333333333,0.5807830632404288,0.20367254204124838,0.20633333333333334,256,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,23,2048.0,0.03364862959799442,300,0.3026050539631795,0.40311111111111114,0.6527777777777777,0.5808846688215228,0.2037617113053722,0.20666666666666667,256,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,31,2048.0,0.03364862959799442,300,0.3044845385266455,0.41083333333333333,0.6679444444444445,0.5844311954463631,0.20366353414226673,0.20700000000000002,256,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,11,4096.0,0.023285155746839942,300,0.49899401923147213,0.6325555555555556,0.8358888888888888,0.7400218662960026,0.12133800988961771,0.37766666666666665,256,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,23,4096.0,0.023285155746839942,300,0.47085533438933586,0.5942222222222222,0.8165555555555555,0.7388749249007037,0.12144013613443813,0.37933333333333336,256,1.0,1.0,1.0
